Iteration,VRAM Mean,VRAM Std
1,16890.4,6.118823416311342
2,17500.4,1197.8022541304554
3,16902.0,4.381780460041329
4,16905.6,3.878143885933063
5,16909.6,4.079215610874227
6,16914.4,2.939387691339814
7,16918.4,3.4409301068170506
8,16919.4,4.882622246293481
9,16925.2,3.249615361854384
10,16925.2,2.039607805437114
